Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
590071,SUNDARMFIN,Sundaram Finance Ltd,01 Feb 2018,Spin Off ,02 Feb 2018,-,-,30 Jan 2018,01 Feb 2018,-
530475,TINNARUBR,Tinna Rubber and Infrastructure Ltd,14 Feb 2018,Spin Off ,15 Feb 2018,-,-,08 Feb 2018,14 Feb 2018,-
523842,SUPTANERY,Super Tannery Ltd,26 Feb 2018,Spin Off ,27 Feb 2018,-,-,20 Feb 2018,26 Feb 2018,-
532216,HBSL,HB Stockholdings Ltd,09 Mar 2018,Spin Off ,12 Mar 2018,-,-,05 Mar 2018,09 Mar 2018,-
532333,HBPOR,HB Portfolio Ltd,12 Mar 2018,Spin Off ,13 Mar 2018,-,-,06 Mar 2018,12 Mar 2018,-
531499,SYBLY,Sybly Industries Ltd,22 Mar 2018,Spin Off ,23 Mar 2018,-,-,16 Mar 2018,22 Mar 2018,-
533200,TALWALKARS,Talwalkars Better Value Fitness Ltd,27 Mar 2018,Spin Off ,28 Mar 2018,-,-,21 Mar 2018,27 Mar 2018,-
512599,ADANIENT,Adani Enterprises Ltd,05 Apr 2018,Spin Off ,06 Apr 2018,-,-,28 Mar 2018,05 Apr 2018,-
512529,SEQUENT,Sequent Scientific Ltd,06 Apr 2018,Spin Off ,09 Apr 2018,-,-,28 Mar 2018,06 Apr 2018,-
532531,STAR,Strides Pharma Science Ltd,06 Apr 2018,Spin Off ,09 Apr 2018,-,-,28 Mar 2018,06 Apr 2018,-
530377,NILAINFRA,Nila Infrastructures Ltd,14 Jun 2018,Spin Off ,15 Jun 2018,-,-,08 Jun 2018,14 Jun 2018,-
504084,KAYCEEI,Kaycee Industries Ltd,25 Jun 2018,Spin Off ,26 Jun 2018,-,-,19 Jun 2018,25 Jun 2018,-
532668,AURIONPRO,Aurionpro Solutions Ltd,14 Aug 2018,Spin Off ,17 Aug 2018,-,-,09 Aug 2018,14 Aug 2018,-
522292,CANDOUR,Candour Techtex Ltd,16 Aug 2018,Spin Off ,20 Aug 2018,-,-,10 Aug 2018,17 Aug 2018,-
512599,ADANIENT,Adani Enterprises Ltd,06 Sep 2018,Spin Off ,07 Sep 2018,-,-,31 Aug 2018,06 Sep 2018,-
526737,CORPOCO,Corporate Courier and Cargo Ltd,19 Sep 2018,Spin Off ,21 Sep 2018,-,-,12 Sep 2018,19 Sep 2018,-
500084,CESC,CESC Ltd,30 Oct 2018,Spin Off ,31 Oct 2018,-,-,24 Oct 2018,30 Oct 2018,-
530961,VIKASECO,Vikas EcoTech Ltd,19 Nov 2018,Spin Off ,21 Nov 2018,-,-,14 Nov 2018,19 Nov 2018,-
500101,ARVIND,Arvind Ltd,28 Nov 2018,Spin Off ,29 Nov 2018,-,-,20 Nov 2018,28 Nov 2018,-
532400,BSOFT,Birlasoft Ltd,24 Jan 2019,Spin Off ,25 Jan 2019,-,-,18 Jan 2019,24 Jan 2019,-
512565,NEELKANTH,Neelkanth Ltd,24 Jan 2019,Spin Off ,25 Jan 2019,-,-,22 Jan 2019,24 Jan 2019,-
532662,HTMEDIA,HT Media Ltd,09 Apr 2019,Spin Off ,10 Apr 2019,-,-,03 Apr 2019,09 Apr 2019,-
506022,PRAKASH,Prakash Industries Ltd,23 Apr 2019,Spin Off ,24 Apr 2019,-,-,15 Apr 2019,23 Apr 2019,-
502820,DCM,DCM Ltd,30 May 2019,Spin Off ,31 May 2019,-,-,24 May 2019,30 May 2019,-
532636,IIFL,IIFL Finance Ltd,30 May 2019,Spin Off ,31 May 2019,-,-,24 May 2019,30 May 2019,-
523537,APMIN,APM Industries Ltd,17 Jun 2019,Spin Off ,18 Jun 2019,-,-,11 Jun 2019,17 Jun 2019,-
524208,AARTIIND,Aarti Industries Ltd,03 Jul 2019,Spin Off ,04 Jul 2019,-,-,01 Jul 2019,03 Jul 2019,-
532371,TTML,Tata Teleservices (Maharashtra) Ltd,11 Jul 2019,Spin Off ,12 Jul 2019,-,-,05 Jul 2019,11 Jul 2019,-
526797,GREENPLY,Greenply Industries Ltd,12 Jul 2019,Spin Off ,15 Jul 2019,-,-,08 Jul 2019,12 Jul 2019,-
500173,GFLLIMITED,GFL Ltd,06 Aug 2019,Spin Off ,07 Aug 2019,-,-,31 Jul 2019,06 Aug 2019,-
500187,AGI,Agi Greenpac Ltd,19 Aug 2019,Spin Off ,20 Aug 2019,-,-,09 Aug 2019,19 Aug 2019,-
506235,ALEMBICLTD,Alembic Ltd,26 Aug 2019,Spin Off ,27 Aug 2019,-,-,20 Aug 2019,26 Aug 2019,-
500483,TATACOMM,Tata Communications Ltd,17 Sep 2019,Spin Off ,18 Sep 2019,-,-,11 Sep 2019,17 Sep 2019,-
500040,ABREL,Aditya Birla Real Estate Ltd,11 Oct 2019,Spin Off ,14 Oct 2019,-,-,04 Oct 2019,11 Oct 2019,-
500413,THOMASCOOK,Thomas Cook (India) Ltd,05 Dec 2019,Spin Off ,06 Dec 2019,-,-,29 Nov 2019,05 Dec 2019,-
500002,ABB,ABB India Ltd,20 Dec 2019,Spin Off ,23 Dec 2019,-,-,16 Dec 2019,20 Dec 2019,-
502937,KESORAMIND,Kesoram Industries Ltd,24 Dec 2019,Spin Off ,26 Dec 2019,-,-,19 Dec 2019,24 Dec 2019,-
500227,JINDALPOLY,Jindal Poly Films Ltd,30 Dec 2019,Spin Off ,31 Dec 2019,-,-,24 Dec 2019,30 Dec 2019,-
530239,SUVEN,Suven Life Sciences Ltd,21 Jan 2020,Spin Off ,22 Jan 2020,-,-,15 Jan 2020,21 Jan 2020,-
532994,ARCHIDPLY,Archidply Industries Ltd,13 Feb 2020,Spin Off ,14 Feb 2020,-,-,07 Feb 2020,13 Feb 2020,-
500770,TATACHEM,Tata Chemicals Ltd,04 Mar 2020,Spin Off ,05 Mar 2020,-,-,27 Feb 2020,04 Mar 2020,-
502219,BORORENEW,Borosil Renewables Ltd,06 Mar 2020,Spin Off ,09 Mar 2020,-,-,02 Mar 2020,06 Mar 2020,-
535602,SHARDAMOTR,Sharda Motor Industries Ltd,26 Mar 2020,Spin Off ,27 Mar 2020,-,-,19 Mar 2020,26 Mar 2020,-
530117,PRIVISCL,Privi Speciality Chemicals Ltd,21 Aug 2020,Spin Off ,24 Aug 2020,-,-,17 Aug 2020,21 Aug 2020,-
531349,PANACEABIO,Panacea Biotec Ltd,21 Sep 2020,Spin Off ,22 Sep 2020,-,-,17 Sep 2020,21 Sep 2020,-
513269,MANINDS,Man Industries (India) Ltd,24 Sep 2020,Spin Off ,25 Sep 2020,-,-,24 Sep 2020,24 Sep 2020,-
515055,ANANTRAJ,Anant Raj Ltd,06 Oct 2020,Spin Off ,07 Oct 2020,-,-,29 Sep 2020,06 Oct 2020,-
539807,INFIBEAM,Infibeam Avenues Ltd,10 Dec 2020,Spin Off ,11 Dec 2020,-,-,07 Dec 2020,10 Dec 2020,-
539287,ORTINGLOBE,Ortin Global Ltd,12 Jan 2021,Spin Off ,13 Jan 2021,-,-,06 Jan 2021,12 Jan 2021,-
530019,JUBLPHARMA,Jubilant Pharmova Ltd,04 Feb 2021,Spin Off ,05 Feb 2021,-,-,29 Jan 2021,04 Feb 2021,-
500173,GFLLIMITED,GFL Ltd,26 Mar 2021,Spin Off ,30 Mar 2021,-,-,23 Mar 2021,26 Mar 2021,-
532754,GMRAIRPORT,GMR Airports Ltd,11 Jan 2022,Spin Off ,12 Jan 2022,-,-,05 Jan 2022,11 Jan 2022,-
517334,MOTHERSON,Samvardhana Motherson International Ltd,14 Jan 2022,Spin Off ,17 Jan 2022,-,-,10 Jan 2022,14 Jan 2022,-
502865,FORBESCO,Forbes & Company Ltd,10 Feb 2022,Spin Off ,11 Feb 2022,-,-,08 Feb 2022,10 Feb 2022,-
506074,ARSHIYA,Arshiya Ltd,03 Mar 2022,Spin Off ,04 Mar 2022,-,-,25 Feb 2022,03 Mar 2022,-
526409,KKALPANAIND,Kkalpana Industries (India) Ltd,07 Apr 2022,Spin Off ,08 Apr 2022,-,-,06 Apr 2022,07 Apr 2022,-
500119,DHAMPURSUG,Dhampur Sugar Mills Ltd,13 May 2022,Spin Off ,17 May 2022,-,-,12 May 2022,16 May 2022,-
532375,TIPSMUSIC,Tips Music Ltd,19 May 2022,Spin Off ,21 May 2022,-,-,17 May 2022,19 May 2022,-
519475,CHORDIA,Chordia Food Products Ltd,03 Aug 2022,Spin Off ,04 Aug 2022,-,-,01 Aug 2022,03 Aug 2022,-
500302,PEL,Piramal Enterprises Ltd,30 Aug 2022,Spin Off ,01 Sep 2022,-,-,26 Aug 2022,30 Aug 2022,-
533520,YAARI,Yaari Digital Integrated Services Ltd,01 Sep 2022,Spin Off ,02 Sep 2022,-,-,25 Aug 2022,01 Sep 2022,-
532741,KAMDHENU,Kamdhenu Ltd,06 Sep 2022,Spin Off ,07 Sep 2022,-,-,30 Aug 2022,06 Sep 2022,-
500048,BEML,BEML Ltd,08 Sep 2022,Spin Off ,09 Sep 2022,-,-,02 Sep 2022,08 Sep 2022,-
533227,AHLEAST,Asian Hotels (East) Ltd,06 Oct 2022,Spin Off ,07 Oct 2022,-,-,29 Sep 2022,06 Oct 2022,-
524208,AARTIIND,Aarti Industries Ltd,19 Oct 2022,Spin Off ,20 Oct 2022,-,-,13 Oct 2022,19 Oct 2022,-
526371,NMDC,NMDC Ltd,27 Oct 2022,Spin Off ,28 Oct 2022,-,-,20 Oct 2022,27 Oct 2022,-
500189,NDLVENTURE,NDL Ventures Ltd,22 Nov 2022,Spin Off ,23 Nov 2022,-,-,16 Nov 2022,22 Nov 2022,-
526642,MIRZAINT,Mirza International Ltd,29 Mar 2023,Spin Off ,29 Mar 2023,-,-,23 Mar 2023,29 Mar 2023,-
523598,SCI,Shipping Corporation of India Ltd,31 Mar 2023,Spin Off ,31 Mar 2023,-,-,24 Mar 2023,31 Mar 2023,-
500171,GHCL,GHCL Ltd,06 Apr 2023,Spin Off ,08 Apr 2023,-,-,31 Mar 2023,06 Apr 2023,-
532749,ALLCARGO,Allcargo Logistics Ltd,18 Apr 2023,Spin Off ,18 Apr 2023,-,-,11 Apr 2023,18 Apr 2023,-
532922,EDELWEISS,Edelweiss Financial Services Ltd,02 Jun 2023,Spin Off ,02 Jun 2023,-,-,29 May 2023,02 Jun 2023,-
500304,NIITLTD,NIIT Ltd,08 Jun 2023,Spin Off ,08 Jun 2023,-,-,02 Jun 2023,08 Jun 2023,-
511431,VAKRANGEE,Vakrangee Ltd,15 Jun 2023,Spin Off ,15 Jun 2023,-,-,09 Jun 2023,15 Jun 2023,-
500325,RELIANCE,Reliance Industries Ltd,20 Jul 2023,Spin Off ,20 Jul 2023,-,-,14 Jul 2023,20 Jul 2023,-
532163,SAREGAMA,Saregama India Ltd,27 Jul 2023,Spin Off ,27 Jul 2023,-,-,24 Jul 2023,27 Jul 2023,-
520056,TVSHLTD,TVS Holdings Ltd,24 Aug 2023,Spin Off ,24 Aug 2023,-,-,21 Aug 2023,24 Aug 2023,-
523710,SAYAJIHOTL,Sayaji Hotels Ltd,05 Sep 2023,Spin Off ,05 Sep 2023,-,-,30 Aug 2023,05 Sep 2023,-
532771,JHS,JHS Svendgaard Laboratories Ltd,11 Sep 2023,Spin Off ,11 Sep 2023,-,-,08 Sep 2023,11 Sep 2023,-
500031,BAJAJELEC,Bajaj Electricals Ltd,14 Sep 2023,Spin Off ,14 Sep 2023,-,-,08 Sep 2023,14 Sep 2023,-
500298,NAPEROL,Naperol Investments Ltd,25 Sep 2023,Spin Off ,25 Sep 2023,-,-,21 Sep 2023,25 Sep 2023,-
500220,JASCH,Jasch Industries Ltd,06 Oct 2023,Spin Off ,06 Oct 2023,-,-,05 Oct 2023,06 Oct 2023,-
543212,BOROLTD,Borosil Ltd,05 Dec 2023,Spin Off ,05 Dec 2023,-,-,30 Nov 2023,05 Dec 2023,-
502865,FORBESCO,Forbes & Company Ltd,07 Mar 2024,Spin Off ,07 Mar 2024,-,-,06 Mar 2024,07 Mar 2024,-
514450,MHLXMIRU,Mahalaxmi Rubtech Ltd,19 Apr 2024,Spin Off ,19 Apr 2024,-,-,19 Apr 2024,19 Apr 2024,-
505368,SEMAC,Semac Consultants Ltd,03 May 2024,Spin Off ,03 May 2024,-,-,03 May 2024,03 May 2024,-
530477,VIKRAMTH,Vikram Thermo India Ltd,21 May 2024,Spin Off ,21 May 2024,-,-,21 May 2024,21 May 2024,-
533644,UEL,Ujaas Energy Ltd,22 May 2024,Spin Off ,22 May 2024,-,-,21 May 2024,21 May 2024,-
500674,SANOFI,Sanofi India Ltd,13 Jun 2024,Spin Off ,13 Jun 2024,-,-,13 Jun 2024,13 Jun 2024,-
506579,OCCL,Oriental Carbon & Chemicals Ltd,01 Jul 2024,Spin Off ,01 Jul 2024,-,-,01 Jul 2024,01 Jul 2024,-
500330,RAYMOND,Raymond Ltd,11 Jul 2024,Spin Off ,11 Jul 2024,-,-,11 Jul 2024,11 Jul 2024,-
513349,AJMERA,Ajmera Realty & Infra India Ltd,02 Aug 2024,Spin Off ,02 Aug 2024,-,-,02 Aug 2024,02 Aug 2024,-
533285,RDBRIL,RDB Realty & Infrastructure Ltd,21 Aug 2024,Spin Off ,21 Aug 2024,-,-,21 Aug 2024,21 Aug 2024,-
539807,INFIBEAM,Infibeam Avenues Ltd,11 Sep 2024,Spin Off ,11 Sep 2024,-,-,11 Sep 2024,11 Sep 2024,-
506161,ISHWATR,Ishwarshakti Holdings & Traders Ltd,17 Sep 2024,Spin Off ,18 Sep 2024,-,-,16 Sep 2024,18 Sep 2024,-
533168,ROSSELLIND,Rossell India Ltd,20 Sep 2024,Spin Off ,20 Sep 2024,-,-,20 Sep 2024,20 Sep 2024,-
505720,HERCULES,Hercules Hoists Ltd,11 Oct 2024,Spin Off ,11 Oct 2024,-,-,11 Oct 2024,11 Oct 2024,-
532344,SOFTSOL,Softsol India Ltd,11 Oct 2024,Spin Off ,11 Oct 2024,-,-,11 Oct 2024,11 Oct 2024,-
532531,STAR,Strides Pharma Science Ltd,06 Dec 2024,Spin Off ,06 Dec 2024,-,-,06 Dec 2024,06 Dec 2024,-
500875,ITC,ITC Ltd,06 Jan 2025,Spin Off ,06 Jan 2025,-,-,06 Jan 2025,06 Jan 2025,-
502937,KESORAMIND,Kesoram Industries Ltd,10 Mar 2025,Spin Off ,10 Mar 2025,-,-,10 Mar 2025,10 Mar 2025,-
